epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3554,1.92045,2.88915,1.48481,0.18585,0.19881,0.12025,0.04722,2.24283,3.61854,1.84312,0.00066,0.00066,0.00066
2,70.4918,1.83407,1.86806,1.43705,0.41182,0.27488,0.22888,0.0903,2.13182,4.18975,1.82287,0.0013004,0.0013004,0.0013004
3,102.601,1.78692,1.54871,1.39568,0.33555,0.24138,0.19537,0.06063,2.47918,3.8816,2.01336,0.0019144,0.0019144,0.0019144
4,134.575,1.76878,1.44959,1.39389,0.27145,0.26601,0.19703,0.07133,2.33321,2.83039,2.00376,0.0018812,0.0018812,0.0018812
5,166.511,1.71448,1.33975,1.36668,0.2985,0.23941,0.18888,0.06927,2.25504,2.739,1.9096,0.0018416,0.0018416,0.0018416
6,198.389,1.67386,1.26692,1.34426,0.5227,0.42186,0.3835,0.12217,2.42307,2.07025,1.8727,0.001802,0.001802,0.001802
7,230.315,1.61604,1.20547,1.29874,0.51306,0.34286,0.34361,0.11562,2.26937,2.25789,1.86931,0.0017624,0.0017624,0.0017624
8,262.289,1.59104,1.16269,1.27912,0.53238,0.33987,0.31917,0.11718,2.20669,2.0927,1.80511,0.0017228,0.0017228,0.0017228
9,294.205,1.56305,1.14269,1.27568,0.39525,0.40197,0.3006,0.09446,2.32957,2.38955,1.93555,0.0016832,0.0016832,0.0016832
10,326.009,1.5343,1.09154,1.26311,0.45281,0.33498,0.30137,0.10566,2.31403,2.33885,1.8039,0.0016436,0.0016436,0.0016436
11,357.914,1.50943,1.06429,1.24908,0.50393,0.38128,0.33153,0.1148,2.28617,2.14763,1.79748,0.001604,0.001604,0.001604
12,389.677,1.47761,1.02637,1.2241,0.45392,0.44828,0.38081,0.14258,2.37789,1.88601,1.87005,0.0015644,0.0015644,0.0015644
13,421.652,1.4765,1.01732,1.22818,0.52118,0.37044,0.35439,0.13201,2.25072,2.48303,1.79576,0.0015248,0.0015248,0.0015248
14,453.539,1.47865,1.01753,1.23143,0.35327,0.35862,0.24479,0.08554,2.28492,2.44628,1.8237,0.0014852,0.0014852,0.0014852
15,485.387,1.41773,0.96925,1.20024,0.44382,0.36158,0.2784,0.116,2.26935,2.44601,1.85908,0.0014456,0.0014456,0.0014456
16,517.33,1.38874,0.95796,1.19217,0.53071,0.40788,0.32975,0.10916,2.31439,2.10007,1.82148,0.001406,0.001406,0.001406
17,549.15,1.3927,0.94,1.19036,0.47634,0.38424,0.31611,0.12025,2.24834,2.01325,1.87478,0.0013664,0.0013664,0.0013664
